,Z values,position,total,lacune,microbleeds,PVS,WMH
0,2.914322203609311,CH_mean,0,0,0,0,2
1,2.079184520065188,TH_mean,0,0,0,0,2
2,2.556390677111321,GM_mean,0,0,0,0,2
3,2.1954120002687274,total_mean,0,0,0,0,2
4,2.0506538524738382,frontal_mean,0,0,0,0,3
5,2.7258572721452476,CH_mean,0,0,0,0,3
6,2.914322203609311,CH_mean,0,0,0,2,2
7,2.079184520065188,TH_mean,0,0,0,2,2
8,2.556390677111321,GM_mean,0,0,0,2,2
9,2.1954120002687274,total_mean,0,0,0,2,2
10,2.0506538524738382,frontal_mean,0,0,0,2,3
11,2.7258572721452476,CH_mean,0,0,0,2,3
12,2.914322203609311,CH_mean,0,0,0,3,2
13,2.079184520065188,TH_mean,0,0,0,3,2
14,2.556390677111321,GM_mean,0,0,0,3,2
15,2.1954120002687274,total_mean,0,0,0,3,2
16,2.0506538524738382,frontal_mean,0,0,0,3,3
17,2.7258572721452476,CH_mean,0,0,0,3,3
18,2.0617900738914763,CH_mean,0,0,0,4,3
19,1.9784402958084,CH_mean,0,0,0,6,2
20,2.3362793637939427,TH_mean,0,0,0,6,2
21,2.3069033512651953,GM_mean,0,0,0,6,2
22,2.017290481795971,GM_mean,0,0,0,7,2
23,1.9875510496778241,CH_mean,0,0,0,8,2
24,2.0469757794163836,TH_mean,0,0,0,8,2
25,2.284182136690955,GM_mean,0,0,0,8,2
26,2.0073421807238163,GM_mean,0,0,0,10,0
27,2.0073421807238163,GM_mean,0,0,0,10,1
28,3.092486068846149,frontal_mean,0,0,1,0,0
29,2.8826888425529185,Parietal_mean,0,0,1,0,0
30,3.328628249428112,WM_mean,0,0,1,0,0
31,3.2125386299403433,CH_mean,0,0,1,0,0
32,2.2578781251639146,BG_mean,0,0,1,0,0
33,2.3326944389696465,TH_mean,0,0,1,0,0
34,3.0121900892315843,GM_mean,0,0,1,0,0
35,3.328667532657194,total_mean,0,0,1,0,0
36,3.092486068846149,frontal_mean,0,0,1,0,1
37,2.8826888425529185,Parietal_mean,0,0,1,0,1
38,3.328628249428112,WM_mean,0,0,1,0,1
39,3.2125386299403433,CH_mean,0,0,1,0,1
40,2.2578781251639146,BG_mean,0,0,1,0,1
41,2.3326944389696465,TH_mean,0,0,1,0,1
42,3.0121900892315843,GM_mean,0,0,1,0,1
43,3.328667532657194,total_mean,0,0,1,0,1
44,2.2408448019566207,frontal_mean,0,0,1,0,2
45,2.1792463530316675,WM_mean,0,0,1,0,2
46,3.082280932372648,CH_mean,0,0,1,0,2
47,2.08640353884522,BG_mean,0,0,1,0,2
48,2.796283992628475,GM_mean,0,0,1,0,2
49,2.7291129638338227,total_mean,0,0,1,0,2
50,2.2538240686165785,frontal_mean,0,0,1,0,3
51,2.10666022964697,WM_mean,0,0,1,0,3
52,2.7201534411957624,CH_mean,0,0,1,0,3
53,3.092486068846149,frontal_mean,0,0,1,2,0
54,2.8826888425529185,Parietal_mean,0,0,1,2,0
55,3.328628249428112,WM_mean,0,0,1,2,0
56,3.2125386299403433,CH_mean,0,0,1,2,0
57,2.2578781251639146,BG_mean,0,0,1,2,0
58,2.3326944389696465,TH_mean,0,0,1,2,0
59,3.0121900892315843,GM_mean,0,0,1,2,0
60,3.328667532657194,total_mean,0,0,1,2,0
61,3.092486068846149,frontal_mean,0,0,1,2,1
62,2.8826888425529185,Parietal_mean,0,0,1,2,1
63,3.328628249428112,WM_mean,0,0,1,2,1
64,3.2125386299403433,CH_mean,0,0,1,2,1
65,2.2578781251639146,BG_mean,0,0,1,2,1
66,2.3326944389696465,TH_mean,0,0,1,2,1
67,3.0121900892315843,GM_mean,0,0,1,2,1
68,3.328667532657194,total_mean,0,0,1,2,1
69,2.2408448019566207,frontal_mean,0,0,1,2,2
70,2.1792463530316675,WM_mean,0,0,1,2,2
71,3.082280932372648,CH_mean,0,0,1,2,2
72,2.08640353884522,BG_mean,0,0,1,2,2
73,2.796283992628475,GM_mean,0,0,1,2,2
74,2.7291129638338227,total_mean,0,0,1,2,2
75,2.2538240686165785,frontal_mean,0,0,1,2,3
76,2.10666022964697,WM_mean,0,0,1,2,3
77,2.7201534411957624,CH_mean,0,0,1,2,3
78,3.092486068846149,frontal_mean,0,0,1,3,0
79,2.8826888425529185,Parietal_mean,0,0,1,3,0
80,3.328628249428112,WM_mean,0,0,1,3,0
81,3.2125386299403433,CH_mean,0,0,1,3,0
82,2.2578781251639146,BG_mean,0,0,1,3,0
83,2.3326944389696465,TH_mean,0,0,1,3,0
84,3.0121900892315843,GM_mean,0,0,1,3,0
85,3.328667532657194,total_mean,0,0,1,3,0
86,3.092486068846149,frontal_mean,0,0,1,3,1
87,2.8826888425529185,Parietal_mean,0,0,1,3,1
88,3.328628249428112,WM_mean,0,0,1,3,1
89,3.2125386299403433,CH_mean,0,0,1,3,1
90,2.2578781251639146,BG_mean,0,0,1,3,1
91,2.3326944389696465,TH_mean,0,0,1,3,1
92,3.0121900892315843,GM_mean,0,0,1,3,1
93,3.328667532657194,total_mean,0,0,1,3,1
94,2.2408448019566207,frontal_mean,0,0,1,3,2
95,2.1792463530316675,WM_mean,0,0,1,3,2
96,3.082280932372648,CH_mean,0,0,1,3,2
97,2.08640353884522,BG_mean,0,0,1,3,2
98,2.796283992628475,GM_mean,0,0,1,3,2
99,2.7291129638338227,total_mean,0,0,1,3,2
100,2.2538240686165785,frontal_mean,0,0,1,3,3
101,2.10666022964697,WM_mean,0,0,1,3,3
102,2.7201534411957624,CH_mean,0,0,1,3,3
103,2.1174646821423484,frontal_mean,0,0,1,4,0
104,2.353968075015593,Parietal_mean,0,0,1,4,0
105,2.3370940746163407,WM_mean,0,0,1,4,0
106,2.2305112164227583,CH_mean,0,0,1,4,0
107,2.2365170236395246,GM_mean,0,0,1,4,0
108,2.3895389040286035,total_mean,0,0,1,4,0
109,2.1174646821423484,frontal_mean,0,0,1,4,1
110,2.353968075015593,Parietal_mean,0,0,1,4,1
111,2.3370940746163407,WM_mean,0,0,1,4,1
112,2.2305112164227583,CH_mean,0,0,1,4,1
113,2.2365170236395246,GM_mean,0,0,1,4,1
114,2.3895389040286035,total_mean,0,0,1,4,1
115,2.4606572201881987,CH_mean,0,0,1,4,2
116,2.3430246970645316,GM_mean,0,0,1,4,2
117,2.210278074911706,total_mean,0,0,1,4,2
118,2.5064774503883904,CH_mean,0,0,1,4,3
119,1.992788694553238,frontal_mean,0,0,1,5,0
120,2.459652699708449,CH_mean,0,0,1,5,0
121,2.2826961647935886,TH_mean,0,0,1,5,0
122,2.6479113269917645,GM_mean,0,0,1,5,0
123,2.4587959321407515,total_mean,0,0,1,5,0
124,1.992788694553238,frontal_mean,0,0,1,5,1
125,2.459652699708449,CH_mean,0,0,1,5,1
126,2.2826961647935886,TH_mean,0,0,1,5,1
127,2.6479113269917645,GM_mean,0,0,1,5,1
128,2.4587959321407515,total_mean,0,0,1,5,1
129,2.508437249829776,CH_mean,0,0,1,5,2
130,2.1441976151481508,TH_mean,0,0,1,5,2
131,2.544479644729625,GM_mean,0,0,1,5,2
132,2.276324307383023,total_mean,0,0,1,5,2
133,2.1290631316493993,frontal_mean,0,0,1,6,0
134,2.202680670893095,CH_mean,0,0,1,6,0
135,2.1746174394678315,TH_mean,0,0,1,6,0
136,2.389761435526214,GM_mean,0,0,1,6,0
137,2.064104840192275,total_mean,0,0,1,6,0
138,2.1290631316493993,frontal_mean,0,0,1,6,1
139,2.202680670893095,CH_mean,0,0,1,6,1
140,2.1746174394678315,TH_mean,0,0,1,6,1
141,2.389761435526214,GM_mean,0,0,1,6,1
142,2.064104840192275,total_mean,0,0,1,6,1
143,2.2381010879480474,CH_mean,0,0,1,6,2
144,2.031526599440208,TH_mean,0,0,1,6,2
145,2.284957116070617,GM_mean,0,0,1,6,2
146,2.2812320952143423,frontal_mean,0,0,1,7,0
147,1.9711687017923596,CH_mean,0,0,1,7,0
148,2.1385750195828477,GM_mean,0,0,1,7,0
149,2.2812320952143423,frontal_mean,0,0,1,7,1
150,1.9711687017923596,CH_mean,0,0,1,7,1
151,2.1385750195828477,GM_mean,0,0,1,7,1
152,2.2812320952143423,frontal_mean,0,0,1,8,0
153,1.9711687017923596,CH_mean,0,0,1,8,0
154,2.1385750195828477,GM_mean,0,0,1,8,0
155,2.2812320952143423,frontal_mean,0,0,1,8,1
156,1.9711687017923596,CH_mean,0,0,1,8,1
157,2.1385750195828477,GM_mean,0,0,1,8,1
158,2.957706577386725,frontal_mean,0,0,2,0,0
159,2.0341905837834284,Parietal_mean,0,0,2,0,0
160,2.508493335480291,WM_mean,0,0,2,0,0
161,3.1231254794065992,CH_mean,0,0,2,0,0
