,p values,position,lacune,microbleeds,PVS,WMH
0,0.021241595364145827,Parietal_mean,0,0,6,0
1,0.022356644557745664,WM_mean,0,0,6,0
2,0.034941996813782294,Parietal_mean,0,0,6,1
3,0.03694996599783806,WM_mean,0,0,6,1
4,0.01702394153761211,Parietal_mean,0,0,6,3
5,0.03315932156020063,WM_mean,0,0,6,3
6,0.034941996813782294,Parietal_mean,0,0,7,0
7,0.03694996599783806,WM_mean,0,0,7,0
8,0.034941996813782294,Parietal_mean,0,0,7,1
9,0.03694996599783806,WM_mean,0,0,7,1
10,0.01702394153761211,Parietal_mean,0,0,7,3
11,0.03315932156020063,WM_mean,0,0,7,3
12,0.01702394153761211,Parietal_mean,0,0,8,3
13,0.03315932156020063,WM_mean,0,0,8,3
14,0.01702394153761211,Parietal_mean,0,0,10,3
15,0.03315932156020063,WM_mean,0,0,10,3
16,0.047133514135033305,CH_mean,0,1,4,3
17,0.047133514135033305,CH_mean,0,2,4,3
18,0.013051844260679513,Parietal_mean,1,0,6,0
19,0.028651621623950074,WM_mean,1,0,6,0
20,0.013051844260679513,Parietal_mean,1,0,6,1
21,0.028651621623950074,WM_mean,1,0,6,1
22,0.013051844260679513,Parietal_mean,1,0,7,0
23,0.028651621623950074,WM_mean,1,0,7,0
24,0.013051844260679513,Parietal_mean,1,0,7,1
25,0.028651621623950074,WM_mean,1,0,7,1
