,p values,position,lacune,microbleeds,PVS,WMH
0,0.017558941,frontal_mean,0,0,0,1
1,0.012357969,Parietal_mean,0,0,0,1
2,0.022077111,WM_mean,0,0,0,1
3,0.005617334,CH_mean,0,0,0,1
4,0.005923667,BG_mean,0,0,0,1
5,0.00033142,TH_mean,0,0,0,1
6,0.000874999,GM_mean,0,0,0,1
7,0.000664678,total_mean,0,0,0,1
8,0.017558941,frontal_mean,0,0,2,1
9,0.012357969,Parietal_mean,0,0,2,1
10,0.022077111,WM_mean,0,0,2,1
11,0.005617334,CH_mean,0,0,2,1
12,0.005923667,BG_mean,0,0,2,1
13,0.00033142,TH_mean,0,0,2,1
14,0.000874999,GM_mean,0,0,2,1
15,0.000664678,total_mean,0,0,2,1
16,0.024985501,frontal_mean,0,0,3,0
17,0.022074999,Parietal_mean,0,0,3,0
18,0.028201224,WM_mean,0,0,3,0
19,0.023788253,CH_mean,0,0,3,0
20,0.009729448,BG_mean,0,0,3,0
21,0.009845901,GM_mean,0,0,3,0
22,0.003864344,total_mean,0,0,3,0
23,0.014783427,frontal_mean,0,0,3,1
24,0.008695992,Parietal_mean,0,0,3,1
25,0.01919479,WM_mean,0,0,3,1
26,0.00568584,CH_mean,0,0,3,1
27,0.005362046,BG_mean,0,0,3,1
28,0.013322037,TH_mean,0,0,3,1
29,0.002165574,GM_mean,0,0,3,1
30,0.001122836,total_mean,0,0,3,1
31,0.032810029,frontal_mean,0,0,4,1
32,0.030482089,CH_mean,0,0,4,1
33,0.042759739,BG_mean,0,0,4,1
34,0.046941301,GM_mean,0,0,4,1
35,0.03089651,total_mean,0,0,4,1
36,0.029057789,frontal_mean,0,0,6,0
37,0.034778344,Parietal_mean,0,0,6,0
38,0.039029684,WM_mean,0,0,6,0
39,0.045264348,total_mean,0,0,6,0
40,0.02416629,frontal_mean,0,0,6,1
41,0.022433871,Parietal_mean,0,0,6,1
42,0.032467058,WM_mean,0,0,6,1
43,0.046865169,CH_mean,0,0,6,1
44,0.024549045,total_mean,0,0,6,1
45,0.035245721,frontal_mean,0,0,7,0
46,0.035245721,frontal_mean,0,0,7,1
47,0.02813997,frontal_mean,0,0,8,0
48,0.040014212,Parietal_mean,0,0,8,0
49,0.045511035,WM_mean,0,0,8,0
50,0.02813997,frontal_mean,0,0,8,1
51,0.040014212,Parietal_mean,0,0,8,1
52,0.045511035,WM_mean,0,0,8,1
53,0.002795112,frontal_mean,0,0,15,0
54,0.001934386,Parietal_mean,0,0,15,0
55,0.006677737,WM_mean,0,0,15,0
56,0.000290038,CH_mean,0,0,15,0
57,0.00016094,BG_mean,0,0,15,0
58,0.000224627,TH_mean,0,0,15,0
59,5.82E-05,GM_mean,0,0,15,0
60,0.001287127,total_mean,0,0,15,0
61,0.002795112,frontal_mean,0,0,15,1
62,0.001934386,Parietal_mean,0,0,15,1
63,0.006677737,WM_mean,0,0,15,1
64,0.000290038,CH_mean,0,0,15,1
65,0.00016094,BG_mean,0,0,15,1
66,0.000224627,TH_mean,0,0,15,1
67,5.82E-05,GM_mean,0,0,15,1
68,0.001287127,total_mean,0,0,15,1
69,0.013280679,frontal_mean,0,1,0,0
70,0.005308561,Parietal_mean,0,1,0,0
71,0.0171767,WM_mean,0,1,0,0
72,0.015659364,CH_mean,0,1,0,0
73,0.01274618,TH_mean,0,1,0,0
74,0.023473939,GM_mean,0,1,0,0
75,0.015976427,total_mean,0,1,0,0
76,0.013280679,frontal_mean,0,1,0,1
77,0.005308561,Parietal_mean,0,1,0,1
78,0.0171767,WM_mean,0,1,0,1
79,0.015659364,CH_mean,0,1,0,1
80,0.01274618,TH_mean,0,1,0,1
81,0.023473939,GM_mean,0,1,0,1
82,0.015976427,total_mean,0,1,0,1
83,0.013280679,frontal_mean,0,1,2,0
84,0.005308561,Parietal_mean,0,1,2,0
85,0.0171767,WM_mean,0,1,2,0
86,0.015659364,CH_mean,0,1,2,0
87,0.01274618,TH_mean,0,1,2,0
88,0.023473939,GM_mean,0,1,2,0
89,0.015976427,total_mean,0,1,2,0
90,0.013280679,frontal_mean,0,1,2,1
91,0.005308561,Parietal_mean,0,1,2,1
92,0.0171767,WM_mean,0,1,2,1
93,0.015659364,CH_mean,0,1,2,1
94,0.01274618,TH_mean,0,1,2,1
95,0.023473939,GM_mean,0,1,2,1
96,0.015976427,total_mean,0,1,2,1
97,0.013280679,frontal_mean,0,1,3,0
98,0.005308561,Parietal_mean,0,1,3,0
99,0.0171767,WM_mean,0,1,3,0
100,0.015659364,CH_mean,0,1,3,0
101,0.01274618,TH_mean,0,1,3,0
102,0.023473939,GM_mean,0,1,3,0
103,0.015976427,total_mean,0,1,3,0
104,0.013280679,frontal_mean,0,1,3,1
105,0.005308561,Parietal_mean,0,1,3,1
106,0.0171767,WM_mean,0,1,3,1
107,0.015659364,CH_mean,0,1,3,1
108,0.01274618,TH_mean,0,1,3,1
109,0.023473939,GM_mean,0,1,3,1
110,0.015976427,total_mean,0,1,3,1
111,0.019904999,frontal_mean,0,1,4,0
112,0.019604264,Parietal_mean,0,1,4,0
113,0.031440004,WM_mean,0,1,4,0
114,0.030039612,CH_mean,0,1,4,0
115,0.042050315,total_mean,0,1,4,0
116,0.019904999,frontal_mean,0,1,4,1
117,0.019604264,Parietal_mean,0,1,4,1
118,0.031440004,WM_mean,0,1,4,1
119,0.030039612,CH_mean,0,1,4,1
120,0.042050315,total_mean,0,1,4,1
121,0.019904999,frontal_mean,0,1,6,0
122,0.019604264,Parietal_mean,0,1,6,0
123,0.031440004,WM_mean,0,1,6,0
124,0.030039612,CH_mean,0,1,6,0
125,0.042050315,total_mean,0,1,6,0
126,0.019904999,frontal_mean,0,1,6,1
127,0.019604264,Parietal_mean,0,1,6,1
128,0.031440004,WM_mean,0,1,6,1
129,0.030039612,CH_mean,0,1,6,1
130,0.042050315,total_mean,0,1,6,1
131,0.026928794,frontal_mean,0,1,7,0
132,0.042338748,Parietal_mean,0,1,7,0
133,0.047725785,WM_mean,0,1,7,0
134,0.026928794,frontal_mean,0,1,7,1
135,0.042338748,Parietal_mean,0,1,7,1
136,0.047725785,WM_mean,0,1,7,1
137,0.026928794,frontal_mean,0,1,8,0
138,0.042338748,Parietal_mean,0,1,8,0
139,0.047725785,WM_mean,0,1,8,0
140,0.026928794,frontal_mean,0,1,8,1
141,0.042338748,Parietal_mean,0,1,8,1
142,0.047725785,WM_mean,0,1,8,1
143,0.010016716,frontal_mean,0,2,0,0
144,0.003785272,Parietal_mean,0,2,0,0
145,0.014376227,WM_mean,0,2,0,0
146,0.008558978,CH_mean,0,2,0,0
147,0.007215103,TH_mean,0,2,0,0
148,0.010390561,GM_mean,0,2,0,0
149,0.007438496,total_mean,0,2,0,0
150,0.010016716,frontal_mean,0,2,0,1
151,0.003785272,Parietal_mean,0,2,0,1
152,0.014376227,WM_mean,0,2,0,1
153,0.008558978,CH_mean,0,2,0,1
154,0.007215103,TH_mean,0,2,0,1
155,0.010390561,GM_mean,0,2,0,1
156,0.007438496,total_mean,0,2,0,1
157,0.010016716,frontal_mean,0,2,2,0
158,0.003785272,Parietal_mean,0,2,2,0
159,0.014376227,WM_mean,0,2,2,0
160,0.008558978,CH_mean,0,2,2,0
161,0.007215103,TH_mean,0,2,2,0
162,0.010390561,GM_mean,0,2,2,0
163,0.007438496,total_mean,0,2,2,0
164,0.010016716,frontal_mean,0,2,2,1
165,0.003785272,Parietal_mean,0,2,2,1
166,0.014376227,WM_mean,0,2,2,1
167,0.008558978,CH_mean,0,2,2,1
168,0.007215103,TH_mean,0,2,2,1
169,0.010390561,GM_mean,0,2,2,1
170,0.007438496,total_mean,0,2,2,1
171,0.010016716,frontal_mean,0,2,3,0
172,0.003785272,Parietal_mean,0,2,3,0
173,0.014376227,WM_mean,0,2,3,0
174,0.008558978,CH_mean,0,2,3,0
175,0.007215103,TH_mean,0,2,3,0
